CEID1,CEID2,CEID3,CEID4,CEID5,CEID6,CEID7,CEID8,CEID9,CEID10,CEID11,ce_name
438,1010438,70438,40438,80438,4026540438,80438,151309438,20438,100438,60438,CarrierIdReadComplete
439,1010439,70439,40439,80439,4026540439,80439,151309439,20439,100439,60439,CarrireIdReadFail
440,1010440,70440,40440,80440,4026540440,80440,151309440,20440,100440,60440,CarrierMappingComplete
441,1010441,70441,40441,80441,4026540441,80441,151309441,20441,100441,60441,CarrierMappingFail
442,1010442,70442,40442,80442,4026540442,80442,151309442,20442,100442,60442,CarrierUnloadedReal
443,1010443,70443,40443,80443,4026540443,80443,151309443,20443,100443,60443,CarrierUnloadedNotify
451,1010451,70451,40451,80451,4026540451,80451,151309451,20451,100451,60451,FOUPLocationChange
452,1010452,70452,40452,80452,4026540452,80452,151309452,20452,100452,60452,FOUPChange
453,1010453,70453,40453,80453,4026540453,80453,151309453,20453,100453,60453,FOUPPlaced
454,1010454,70454,40454,80454,4026540454,80454,151309454,20454,100454,60454,FOUPRemoved
455,1010455,70455,40455,80455,4026540455,80455,151309455,20455,100455,60455,FOUPClamped
456,1010456,70456,40456,80456,4026540456,80456,151309456,20456,100456,60456,FOUPUnclamped
457,1010457,70457,40457,80457,4026540457,80457,151309457,20457,100457,60457,FOUPDocked
458,1010458,70458,40458,80458,4026540458,80458,151309458,20458,100458,60458,FOUPUndocked
459,1010459,70459,40459,80459,4026540459,80459,151309459,20459,100459,60459,FOUPOpend
460,1010460,70460,40460,80460,4026540460,80460,151309460,20460,100460,60460,FOUPClosed
461,1010461,70461,40461,80461,4026540461,80461,151309461,20461,100461,60461,UICommand
471,1010471,70471,40471,80471,4026540471,80471,151309471,20471,100471,60471,UIJobStopCommand
472,1010472,70472,40472,80472,4026540472,80472,151309472,20472,100472,60472,UIJobAbortCommand
